Et, CCONJ O
et, CCONJ O
supertunicale, ADJ O
de, ADP O
rubeo, NOUN O
foirata, VERB O
de, ADP O
sendato, VERB O
quod, SCONJ O
supertunicale, ADJ O
munitum, VERB O
erat, AUX O
de, ADP O
botonibus, NOUN O
de, ADP O
anbro, NOUN O
et, CCONJ O
de, ADP O
argento, NOUN O

Item, ADV O
quandam, DET O
vestem, NOUN O
scilicet, CCONJ O
mantellum, NOUN O
et, CCONJ O
supertunicale, ADJ O
de, ADP O
scarlleto, ADJ O
cum, ADP O
foiratura, NOUN O
de, ADP O
variis, ADJ O
in, ADP O
quo, PRON O
supertunicale, ADJ O
erant, AUX O
botonibus, NOUN O
et, CCONJ O
firmaturis, NOUN O
et, CCONJ O
gaute, NOUN O
de, ADP O
auro, NOUN O

Item, ADV O
quoddam, DET O
supertunicale, ADJ O
rubeo, NOUN O
munitum, VERB O
eo, PRON O
modo, NOUN O
quo, PRON O
aliud, DET O
supertunicale, ADJ O
predictum, VERB O

Item, ADV O
quoddam, DET O
aliud, DET O
supertunicale, ADJ O
de, ADP O
samit, NOUN O
viridi, NOUN O
cum, ADP O
botonibus, NOUN O
12, NUM O
danbro, VERB O
et, CCONJ O
firmaturis, NOUN O
et, CCONJ O
gautea, ADJ O
de, ADP O
argento, NOUN O
et, CCONJ O
margaritis, NOUN O

Item, ADV O
quoddam, DET O
supertunicale, ADJ O
de, ADP O
violeto, ADJ O
foiratum, VERB O
de, ADP O
escurolo, NOUN O

Item, ADV O
quoddam, DET O
supertunicale, ADJ O
de, ADP O
media, ADJ O
lana, NOUN O
foiratum, VERB O
de, ADP O
sendato, VERB O
rubeo, NOUN O
munitum, VERB O
argento, NOUN O
et, CCONJ O
margaritis, NOUN O
modo, NOUN O
quo, PRON O
supra, ADV O

Item, ADV O
quoddam, DET O
supertunicale, ADJ O
de, ADP O
mesclat, VERB O
foiratum, VERB O
de, ADP O
agnis, NOUN O
cum, ADP O
vi, NUM O
butonibus, NOUN O
aureis, NOUN O
et, CCONJ O
gautee, ADV O
de, ADP O
margaritis, NOUN O
et, CCONJ O
firmaturis, NOUN O
argenteis, ADJ O

Item, ADV O
quoddam, DET O
mantellum, NOUN O
de, ADP O
livido, NOUN O
foiratum, VERB O
de, ADP O
variis, ADJ O

Item, ADV O
aliud, DET O
mantellum, NOUN O
de, ADP O
vair, NOUN O
foiratum, VERB O
de, ADP O
cuniculis, NOUN O

Item, ADV O
quandam, DET O
tunicam, NOUN O
de, ADP O
violeto, ADJ O
an, SCONJ O
causana, ADJ O
argentea, NOUN O
et, CCONJ O
de, ADP O
margaritis, NOUN O

Item, ADV O
unam, NUM O
capam, NOUN O
de, ADP O
livido, NOUN O
foiratam, VERB O
de, ADP O
sendato, VERB O
rubeo, NOUN O

Item, ADV O
lo, VERB O
frez, NOUN O
unius, NUM O
mantelli, NOUN O
de, ADP O
camelot, NOUN O
quod, PRON O
erat, AUX O
de, ADP O
margaritis, NOUN O

Item, ADV O
petimus, VERB O
ut, SCONJ O
supra, ADV O
primo, ADV O
